track_ids,track_names,artists,first_artists,danceability,energy,loudness,mode,acousticness,instrumentalness,valence,tempo,mood
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,['Bill Withers'],Bill Withers,0.527,0.415,-11.451,0,0.457,1.72e-05,0.515,78.169,happy
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,['Otis Redding'],Otis Redding,0.768,0.367,-11.226,1,0.683,1.79e-05,0.532,103.621,happy
3SdTKo2uVsxFblQjpScoHy,Stand By Me,['Ben E. King'],Ben E. King,0.65,0.306,-9.443,1,0.57,7.07e-06,0.605,118.068,happy
3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,['Aretha Franklin'],Aretha Franklin,0.592,0.355,-14.051,1,0.478,0.0,0.499,133.032,happy
4kP69y3GKHi9tXckfgp4bK,For Once In My Life,['Stevie Wonder'],Stevie Wonder,0.524,0.519,-11.903,1,0.195,0.0,0.847,110.121,happy
6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",['Sam & Dave'],Sam & Dave,0.803,0.338,-14.029,1,0.196,0.038,0.912,106.841,happy
10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,['Al Green'],Al Green,0.772,0.397,-8.585,1,0.339,0.00541,0.617,97.964,happy
2G2YzndIA6jeWFPBXhUjh5,Be My Baby,['The Ronettes'],The Ronettes,0.511,0.769,-7.032,1,0.181,0.0,0.818,129.657,happy
0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,['Johnny Nash'],Johnny Nash,0.681,0.373,-13.2,1,0.633,0.00113,0.623,123.423,happy
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,['Gladys Knight & The Pips'],Gladys Knight & The Pips,0.595,0.379,-12.058,0,0.271,2.81e-05,0.448,92.006,happy
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,['Ray Charles'],Ray Charles,0.556,0.61,-4.729,1,0.833,2.22e-06,0.665,199.373,happy
65jrjEhWfAvysKfnojk1i0,Under the Boardwalk,['The Drifters'],The Drifters,0.747,0.226,-13.635,1,0.908,0.000168,0.778,123.792,happy
5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,['Aretha Franklin'],Aretha Franklin,0.603,0.271,-10.083,1,0.679,0.0,0.405,110.89,happy
28285KFbyCq8sJofn58qlD,Love Train,"[""The O'Jays""]",The O'Jays,0.743,0.572,-9.627,1,0.186,1.44e-05,0.675,122.658,happy
51FpzuGkRYXFgsE2zXt9av,When a Man Loves a Woman,['Percy Sledge'],Percy Sledge,0.516,0.15,-20.41,1,0.13,0.0755,0.205,97.398,happy
7odHgoLFi3GQ90E9PeraI3,Son of a Preacher Man,['Dusty Springfield'],Dusty Springfield,0.401,0.498,-10.682,1,0.394,0.0,0.816,181.701,happy
5c33j1xFVOL4G24zxYhssB,This Old Heart Of Mine (Is Weak For You),['The Isley Brothers'],The Isley Brothers,0.632,0.59,-10.206,1,0.346,0.0,0.953,130.287,happy
5YLnfy7R2kueN0BRPkjiEG,I'll Take You There,['The Staple Singers'],The Staple Singers,0.846,0.595,-8.372,1,0.0904,1.96e-06,0.78,101.632,happy
0dMd4rilfd6gPbXaLpNYhu,Higher Ground,['Stevie Wonder'],Stevie Wonder,0.716,0.85,-9.949,1,0.0631,0.00133,0.821,125.474,happy
2NVpYQqdraEcQwqT7GhUkh,Ain't Nobody,['Chaka Khan'],Chaka Khan,0.8,0.878,-7.109,1,0.189,0.000104,0.816,104.282,happy
2vLaES21zwbX1Rnmj56Bbb,I'll Be Around,['The Spinners'],The Spinners,0.593,0.791,-8.698,0,0.175,0.0,0.63,112.295,happy
2g2GkH3vZHk4lWzBjgQ6nY,(What A) Wonderful World,['Sam Cooke'],Sam Cooke,0.691,0.507,-10.23,1,0.627,0.0,0.885,128.518,happy
6hJhVBOnkchxBsDHbLOBJP,Drift Away - Single Version,['Dobie Gray'],Dobie Gray,0.521,0.443,-8.188,1,0.308,0.0,0.596,76.228,happy
2Bls0igCm79XQQ95IoUbhq,Mr. Big Stuff,['Jean Knight'],Jean Knight,0.886,0.491,-12.589,1,0.29,2.46e-06,0.971,93.236,happy
36AlMHDBFwSsD3FQOy1R81,Try a Little Tenderness,['Otis Redding'],Otis Redding,0.587,0.133,-15.151,0,0.186,2.26e-05,0.068,102.938,happy
2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,['Sly & The Family Stone'],Sly & The Family Stone,0.843,0.48,-11.574,0,0.28,0.000782,0.762,101.993,happy
74JdR9aXE6I74oS1BVRsvb,O-o-h Child,['The Five Stairsteps'],The Five Stairsteps,0.488,0.754,-7.95,0,0.00154,2.42e-05,0.664,88.368,happy
0OwvrdjaJOypNsNQHyBWE5,California Soul,['Marlena Shaw'],Marlena Shaw,0.513,0.826,-8.407,0,0.555,3.48e-05,0.539,94.582,happy
5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So",['Ray Charles'],Ray Charles,0.696,0.547,-5.954,0,0.792,0.0,0.623,73.203,happy
