track_ids,track_names,artists,first_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,['Bill Withers'],Bill Withers,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,audio_features,1k1Bqnv2R0uJXQN4u6LKYt,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,125093,4,Happy
3zBhihYUHBmGd2bcQIobrF,(Sittin' On) the Dock of the Bay,['Otis Redding'],Otis Redding,0.768,0.367,2,-11.226,1,0.0315,0.683,1.79e-05,0.081,0.532,103.621,audio_features,3zBhihYUHBmGd2bcQIobrF,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756,4,Happy
3SdTKo2uVsxFblQjpScoHy,Stand By Me,['Ben E. King'],Ben E. King,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,audio_features,3SdTKo2uVsxFblQjpScoHy,spotify:track:3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy,https://api.spotify.com/v1/audio-analysis/3SdTKo2uVsxFblQjpScoHy,180056,4,Happy
3NfxSdJnVdon1axzloJgba,I Say a Little Prayer,['Aretha Franklin'],Aretha Franklin,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,audio_features,3NfxSdJnVdon1axzloJgba,spotify:track:3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,https://api.spotify.com/v1/audio-analysis/3NfxSdJnVdon1axzloJgba,216773,4,Happy
4kP69y3GKHi9tXckfgp4bK,For Once In My Life,['Stevie Wonder'],Stevie Wonder,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,audio_features,4kP69y3GKHi9tXckfgp4bK,spotify:track:4kP69y3GKHi9tXckfgp4bK,https://api.spotify.com/v1/tracks/4kP69y3GKHi9tXckfgp4bK,https://api.spotify.com/v1/audio-analysis/4kP69y3GKHi9tXckfgp4bK,169800,4,Happy
6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",['Sam & Dave'],Sam & Dave,0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,audio_features,6PgVDY8GTkxF3GmhVGPzoB,spotify:track:6PgVDY8GTkxF3GmhVGPzoB,https://api.spotify.com/v1/tracks/6PgVDY8GTkxF3GmhVGPzoB,https://api.spotify.com/v1/audio-analysis/6PgVDY8GTkxF3GmhVGPzoB,155707,4,Happy
10vkYRKw6Jjr7try1ir50G,Tired of Being Alone,['Al Green'],Al Green,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,audio_features,10vkYRKw6Jjr7try1ir50G,spotify:track:10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/tracks/10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/audio-analysis/10vkYRKw6Jjr7try1ir50G,172320,4,Happy
2G2YzndIA6jeWFPBXhUjh5,Be My Baby,['The Ronettes'],The Ronettes,0.511,0.769,4,-7.032,1,0.042,0.181,0.0,0.0921,0.818,129.657,audio_features,2G2YzndIA6jeWFPBXhUjh5,spotify:track:2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/tracks/2G2YzndIA6jeWFPBXhUjh5,https://api.spotify.com/v1/audio-analysis/2G2YzndIA6jeWFPBXhUjh5,160907,4,Happy
0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,['Johnny Nash'],Johnny Nash,0.681,0.373,2,-13.2,1,0.0568,0.633,0.00113,0.0751,0.623,123.423,audio_features,0DcrhZ12WcCqruCs8ibXSf,spotify:track:0DcrhZ12WcCqruCs8ibXSf,https://api.spotify.com/v1/tracks/0DcrhZ12WcCqruCs8ibXSf,https://api.spotify.com/v1/audio-analysis/0DcrhZ12WcCqruCs8ibXSf,164733,4,Happy
7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia,['Gladys Knight & The Pips'],Gladys Knight & The Pips,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,7MF7QAodbGzNYav5ZfIhAY,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4,Happy
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,['Ray Charles'],Ray Charles,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,audio_features,2xar08Fq5xra2KKZs5Bw9j,spotify:track:2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/tracks/2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/audio-analysis/2xar08Fq5xra2KKZs5Bw9j,171467,4,Happy
65jrjEhWfAvysKfnojk1i0,Under the Boardwalk,['The Drifters'],The Drifters,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,audio_features,65jrjEhWfAvysKfnojk1i0,spotify:track:65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/tracks/65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/audio-analysis/65jrjEhWfAvysKfnojk1i0,161960,4,Happy
5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,['Aretha Franklin'],Aretha Franklin,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,audio_features,5K09WxKdlkroDyEVyOSySy,spotify:track:5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,https://api.spotify.com/v1/audio-analysis/5K09WxKdlkroDyEVyOSySy,165333,3,Happy
