track_names,first_artists,lyrics
Ain't No Sunshine,Bill Withers,"70 ContributorsTranslationsDeutschAin’t No Sunshine Lyrics
Ain't no sunshine when she's gone
It's not warm when she's away
Ain't no sunshine when she's gone
And she's always gone too long
Anytime she goes away

Wonder this time where she's gone
Wonder if she's gonna stay
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away

And I know, I know, I know, I know
I know, I know, I know, I know
I know, I know, I know, I know
I know, I know, I know, I know
I know, I know, I know, I know
I know, I know, I know, I know
I know, I know
Hey, I ought to leave the young thing alone
But ain't no sunshine when she's gone

Ain't no sunshine when she's gone
Only darkness everyday
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away
You might also like
Anytime she goes away
Anytime she goes away
Anytime she goes away48Embed"
(Sittin' On) the Dock of the Bay,Otis Redding,"64 Contributors(Sittin’ On) The Dock of the Bay Lyrics
Sittin' in the mornin' sun
I'll be sittin' when the evenin' come
Watching the ships roll in
And then I watch 'em roll away again, yeah

I'm sittin' on the dock of the bay
Watching the tide roll away
Ooh, I'm just sittin' on the dock of the bay
Wastin' time

I left my home in Georgia
Headed for the 'Frisco bay
'Cause I've had nothing to live for
And look like nothin's gonna come my way

So I'm just gonna sit on the dock of the bay
Watching the tide roll away
Ooh, I'm sittin' on the dock of the bay
Wastin' time

Look like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, yes
You might also like
Sittin' here resting my bones
And this loneliness won't leave me alone
It's two thousand miles I roamed
Just to make this dock my home

Now, I'm just gonna sit at the dock of the bay
Watching the tide roll away
Ooh-wee, I'm sittin' on the dock of the bay
Wastin' time

*Whistling*25Embed"
Stand By Me,Ben E. King,"72 ContributorsStand By Me Lyrics

When the night has come
And the land is dark
And the moon is the only light we'll see
No, I won't be afraid
Oh, I won't be afraid
Just as long as you stand, stand by me

So darlin', darlin', stand by me
Oh, stand by me
Oh, stand
Stand by me, stand by me

If the sky that we look upon
Should tumble and fall
Or the mountains should crumble to the sea
I won't cry, I won't cry
No, I won't shed a tear
Just as long as you stand, stand by me

And darlin', darlin', stand by me
Oh, stand by me
Woah, stand now
Stand by me, stand by me
You might also like

Darlin', darlin', stand by me
Oh, stand by me
Oh, stand now
Stand by me, stand by me
Whenever you're in trouble, won't you stand by me?
Oh, stand by me
Woah, just stand now
Oh, stand, stand by me88Embed"
I Say a Little Prayer,Aretha Franklin,"39 ContributorsI Say a Little Prayer Lyrics
(I say a little prayer for you)

The moment I wake up
Before I put on my makeup (Makeup)
I say a little (Prayer for you)
And while I'm combing my hair now
And wondering what dress to wear now (Wear now)
I say a little (Prayer for you)

Forever (Forever), and ever (Yeah)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Ooh-hoo)

I run for the bus, dear
But while riding I think of us, dear (Us, dear)
I say a little (Prayer for you)
And at work I just take time
And all through my coffee break time (Break time)
I say a little (Prayer for you)
You might also like
Forever (Forever), and ever (Ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Nobody but me)
Forever (Ever), and ever (Ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Ooh, ooh-hoo)

My darling, believe me (Believe me)
For me, there is no one but you
Please love me true
I'm in love with you (Answer my prayer)
Answer my prayer, baby (Answer my prayer)
Say you'll love me true (Answer my prayer)
Answer my prayer, baby (Answer my prayer)

(Ey) Forever (Forever), and ever (Ever, ever)
You'll stay in my heart and I will love you
Forever (Forever), and ever (Ever)
We never will part, oh, how I love you
Together (Together), together (Together)
That's how it must be to live without you
Would only mean heartbreak for me (Oh, nobody but me)
My darling, believe me (Believe me)
For me, there is no one but you
Please love me true

This is my prayer (Answer my prayer, baby)
Answer my prayer now, baby (Answer my prayer, baby)
This is my prayer (Answer my prayer, baby)
Answer it right now, baby (Answer my prayer, baby)
Say you'll love me true (Answer my prayer, baby)
This is my prayer, baby (Answer my prayer, baby)
I'm in love with you (Answer my prayer)10Embed"
For Once In My Life,Stevie Wonder,"25 ContributorsFor Once in My Life Lyrics
For once in my life, I have someone who needs me
Someone I've needed so long
For once, unafraid, I can go where life leads me
Somehow, I know I'll be strong

For once, I can touch what my heart used to dream of
Long before I knew
Oh, someone warm like you
Would make my dreams come true, yeah, yeah, yeah (For once in my life)

For once in my life, I won't let sorrow hurt me
Not like it's hurt me before (Not like it's hurt before)
For once, I have something I know won't desert me
I'm not alone anymore (I'm not alone anymore)

For once, I can say, this is mine, you can't take it
As long as I know I have love, I can make it
For once in my life, I have someone who needs me (Someone who needs me)
Hey, hey, hey, hey, yeah (Someone who needs me)
Oh, baby, love, baby

(For once in my life)
You might also like
For once in my life (For once in my life), I won't let sorrow hurt me
Not like it's hurt me before (Not like it's hurt before)
For once, I have something I know won't desert me
I'm not alone anymore (I'm not alone anymore)

For once, I can say, this is mine, you can't take it
Long as I know I have love, I can make it
For once in my life, I have someone who needs me (Someone who needs me, yeah)
Oh, for once in my life (Someone who needs me, yeah)
Somebody that needs me (Someone who needs me, yeah)
Ooh baby, for once in my life (Someone who needs me, yeah)13Embed"
"Hold On, I'm Comin'",Sam & Dave,"22 ContributorsHold On, I’m Comin’ Lyrics
Don't you ever be sad
Lean on me when times are bad
When the day comes and you are down
In a river of trouble and about to drown

Just hold on, I'm comin'
Hold on, I'm comin'

I'm on my way, your lover
If you get cold, yeah, I will be your cover
Don't have to worry, 'cause I'm here
No need to suffer, baby, 'cause I'm near

Just hold on, I'm comin'
Hold on, I'm comin'
Hold on, I'm comin'
Hold on, I'm comin'

Lookie here, reach out to me
For satisfaction, yeah
Lookie here, Dave, that's all she got to do
Call my name, yeah, for quick reaction
Yeah, yeah, yeah, yeah
You might also like
Now don't you ever be sad
Lean on me when the times are bad
When the day comes and you are down, baby
In a river of trouble and about to drown

Just hold on, I'm comin'
Hold on, I'm comin'
Just hold on (Don't you worry)
I'm comin' (Here we come)
Hold on (We're about to save you)
I'm comin' (Yeah)
Hold on (Don't you worry)
I'm comin' (Here I come)2Embed"
Tired of Being Alone,Al Green,"22 ContributorsTired of Being Alone Lyrics
Sweet baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Just as soon as you can?

People say that I've found a way
To make you say that you love me
Hey baby, you didn't go for that
It's a natural fact
That I wanna come back
Show me where it's at, baby

I'm so tired of being alone
I'm so tired of on-my-own
Won't you help me girl
Soon as you can?

I guess you know that I, uh, I love you so
Even though you don't want me no more
Hey hey hey hey, I'm cryin' tears
All through the years
I'll tell ya like it is
Honey, love me if you will
You might also like
Yeah baby
Tired of being alone here by myself, now
I tell ya, I'm tired baby
I'm tired of being all wrapped up late at night
In my dreams, nobody but you, baby
Sometimes I wonder (Oooooh)
If you love me like you say you do
You see baby, I been thinkin' about it, yeah
I been, I been wantin' to get next to you baby
Ya see, sometimes I fold my arms, I say mmmm hmmm hmmm (Oooh)
Yeah baby
Meeting you has proven to me
To be my greatest dream, yeah

Tired, baby
Yeah, you don't know what I'm talkin' about
Sometimes late at night, I get to wonderin' about you baby
Oh, baby, baby
I'm so tired of being alone
I'm so tired of being alone
I'm so tired of being alone…8Embed"
Be My Baby,The Ronettes,"36 ContributorsBe My Baby Lyrics

The night we met I knew I needed you so
And if I had the chance I'd never let you go
So won't you say you love me?
I'll make you so proud of me
We'll make 'em turn their heads every place we go

So won't you, please (Be my, be my baby)
Be my little baby? (My one and only baby)
Say you'll be my darlin' (Be my, be my baby)
Be my baby now (My one and only baby)
Whoa-oh-oh-oh

I'll make you happy, baby, just wait and see
For every kiss you give me, I'll give you three
Oh, since the day I saw you
I have been waiting for you
You know I will adore you 'til eternity

So won't you, please (Be my, be my baby)
Be my little baby? (My one and only baby)
Say you'll be my darlin' (Be my, be my baby)
Be my baby now (My one and only baby)
Whoa-oh-oh-oh
You might also like

So c'mon and be (Be my, be my baby)
Be my little baby? (My one and only baby)
Say you'll be my darlin' (Be my, be my baby)
Be my baby now (My one and only baby)
Oh-oh-oh-oh


(Be my, be my baby)
Be my little baby? (My one and only baby)
Oh-oh-oh (Be my, be my baby)
Oh (My one and only baby)
Woah-oh-oh-oh (Be my, be my baby)
Oh-oh-oh (My one and only baby)
Oh (Be my, be my baby)
Be my baby now (My one and only baby)
Woah-oh-oh-oh17Embed"
I Can See Clearly Now - Edit,Johnny Nash,"I can see clearly now the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's gonna be a bright (bright)
Bright (bright) sunshiny day
Oh, yes I can make it now the pain is gone
All of the bad feelings have disappeared
Here is that rainbow I've been praying for
It's gonna be a bright (bright)
Bright (bright) sunshiny day
look all around, there's nothing but blue skies
Look straight ahead, there's nothing but blue skies
I can see clearly now the rain is gone
I can see all obstacles in my way
Here is that rainbow I've been praying for
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's gonna be a bright (bright)
Bright (bright) sunshiny day
Bri-ri-ri-ri', bright, (bright)
Bright (bright) sunshiny day, yeah, eh
It's gonna be a bright (bright)
Bright (bright) sunshiny day
It's gonna be a bright (bright)
Bright (bright) sunshiny day, yeah, na
It's gonna be a bright (bright)
Bright (bright) sunshiny day
Bri-ri-ri-ri', bright (bright)
Bright (bright) sunshiny..."
Midnight Train to Georgia,Gladys Knight & The Pips,"26 ContributorsMidnight Train to Georgia Lyrics
Mm, L.A
Proved too much for the man (Too much for the man, he couldn't make it)
So he's leavin' the life
He's come to know, ooh (He said he's goin')
He said he's goin' back to find (Goin' back to find)
Ooh, ooh, ooh, what's left of his world
The world he left behind not so long ago

He's leavin' (Leavin')
On that midnight train to Georgia (Leavin' on that midnight train)
Mm, yes
Said he's goin' back (Goin' back to find)
To a simpler place and time (Whenever he takes that ride)
Oh, yes, he is (Guess who's gonna be right by his side)
And I'll be with him (I know you will)
On that midnight train to Georgia (Leavin' on that midnight train to Georgia)
Yeah (Woo, woo)
I'd rather live in his world (Live in his world)
Than live without him in mine (Her world is his, his and hers alone)

He kept dreamin' (Dreamin')
Ooh, that someday he'd be a star (A superstar, but he didn't get far)
But he sure found out the hard way
That dreams don't always come true (Dreams don't always come true)
Oh, no, uh-uh (Uh-uh, no, uh-uh)
So he pawned all his hopes
And he even sold his old car
Bought a one-way ticket back
To the life he once knew
Oh, yes, he did, he said he would
You might also like
Oh, no, he's leavin (Leavin')
On that midnight train to Georgia (Leavin' on that midnight train)
Hmm, yeah
Said he's goin' back to find (Goin' back to find)
Ooh, a simpler place and time (Whenever he takes that ride)
Oh, yeah (Guess who's gonna be right by his side)
I'm gonna be with him (I know you will)
On that midnight train to Georgia (Leavin' on the midnight train to Georgia)
Oh (Woo, woo)
I'd rather live in his world (Live in his world)
Than live without him in mine (Her world is his, his and hers alone)
Ooh, he's leavin' (Leavin')
On the midnight train to Georgia (Leavin' on the midnight train)
Yeah, ooh, y'all
Said he's goin' back to find (Goin' back to find)
Ooh, a simpler place and time (Whenever he takes that ride)
Ooh, y'all, uh-huh (Guess who's gonna be right by his side)
I've got to be with him (I know you will)
On that midnight train to Georgia (Leavin' on the midnight train to Georgia)
Yeah (Woo, woo)
I'd rather live in his world (Live in his world)
Than live without him in mine (Her world is his, his and hers alone)

Oh (For love)
For love (Gonna board)
Gonna board the midnight train to ride
For love (For love)
Gonna board (Gonna board)
Gotta board the midnight train to go
For love (For love)
Gonna board (Gonna board)
Uh-huh, the midnight train to go
My world (For love)
His world (Gonna board)
Our world, mine and his alone (The midnight train to go)
My world (For love)
His world (Gonna board)
Our world, mine and his alone (The midnight train to go)
I've got to go (For love)
I've got to go (Gonna board)
I've got to go, hey (The midnight train to go)
I've got to go (For love)
I've got to go (Gonna board)
Mm (The midnight train to go)
My world (For love)
His world (Gonna board)
My man, his girl (The midnight train to go)
I've got to go (For love)
I've got to go (Gonna board)
Oh, I've got to go (The midnight train to go)
My world (For love)
His world (Gonna board)
Our world, his girl…3Embed"
