track_names,first_artists,lyrics,tokens
Ain't No Sunshine,Bill Withers,am not no sunshine when she is gone  it is not warm when she is away  am not no sunshine when she is gone  and she is always gone too long  anytime she goes away    wonder this time where she is gone  wonder if she is gonna stay  am not no sunshine when she is gone  and this house just am not no home  anytime she goes away    and i know i know i know i know  i know i know i know i know  i know i know i know i know  i know i know i know i know  i know i know i know i know  i know i know i know i know  i know i know  hey i ought to leave the young thing alone  but am not no sunshine when she is gone    am not no sunshine when she is gone  only darkness everyday  am not no sunshine when she is gone  and this house just am not no home  anytime she goes away  you might also like  anytime she goes away  anytime she goes away  anytime she goes away,"['sunshine', 'go', 'warm', 'away', 'sunshine', 'go', 'always', 'go', 'long', 'anytime', 'go', 'away', 'wonder', 'time', 'go', 'wonder', 'gon', 'stay', 'sunshine', 'go', 'house', 'home', 'anytime', 'go', 'away', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'hey', 'ought', 'leave', 'young', 'thing', 'alone', 'sunshine', 'go', 'sunshine', 'go', 'darkness', 'everyday', 'sunshine', 'go', 'house', 'home', 'anytime', 'go', 'away', 'might', 'also', 'like', 'anytime', 'go', 'away', 'anytime', 'go', 'away', 'anytime', 'go', 'away']"
(Sittin' On) the Dock of the Bay,Otis Redding,sitting in the morning sun  i will be sitting when the evening come  watching the ships roll in  and then i watch em roll away again yes    i am sitting on the dock of the bay  watching the tide roll away  ooh i am just sitting on the dock of the bay  wasting time    i left my home in georgia  headed for the frisco bay  because i have had nothing to live for  and look like nothings gonna come my way    so i am just gonna sit on the dock of the bay  watching the tide roll away  ooh i am sitting on the dock of the bay  wasting time    look like nothings gonna change  everything still remains the same  i cannot do what ten people tell me to do  so i guess i will remain the same yes  you might also like  sitting here resting my bones  and this loneliness will not leave me alone  it is two thousand miles i roamed  just to make this dock my home    now i am just gonna sit at the dock of the bay  watching the tide roll away  ooh wee i am sitting on the dock of the bay  wasting time    whistling,"['sit', 'morning', 'sun', 'sit', 'even', 'come', 'watch', 'ship', 'roll', 'watch', 'em', 'roll', 'away', 'yes', 'sit', 'dock', 'bay', 'watch', 'tide', 'roll', 'away', 'sit', 'dock', 'bay', 'waste', 'time', 'left', 'home', 'georgia', 'head', 'frisco', 'bay', 'nothing', 'live', 'look', 'like', 'nothing', 'gon', 'come', 'way', 'gon', 'sit', 'dock', 'bay', 'watch', 'tide', 'roll', 'away', 'sit', 'dock', 'bay', 'waste', 'time', 'look', 'like', 'nothing', 'gon', 'change', 'everything', 'still', 'remains', 'ten', 'people', 'tell', 'guess', 'remain', 'yes', 'might', 'also', 'like', 'sit', 'rest', 'bone', 'loneliness', 'leave', 'alone', 'two', 'thousand', 'mile', 'roam', 'make', 'dock', 'home', 'gon', 'sit', 'dock', 'bay', 'watch', 'tide', 'roll', 'away', 'wee', 'sit', 'dock', 'bay', 'waste', 'time', 'whistle']"
Stand By Me,Ben E. King,when the night has come  and the land is dark  and the moon is the only light we will see  no i will not be afraid  oh i will not be afraid  just as long as you stand stand by me    so darling darling stand by me  oh stand by me  oh stand  stand by me stand by me    if the sky that we look upon  should tumble and fall  or the mountains should crumble to the sea  i will not cry i will not cry  no i will not shed a tear  just as long as you stand stand by me    and darling darling stand by me  oh stand by me  woah stand now  stand by me stand by me  you might also like    darling darling stand by me  oh stand by me  oh stand now  stand by me stand by me  whenever you are in trouble will not you stand by me  oh stand by me  woah just stand now  oh stand stand by me,"['night', 'come', 'land', 'dark', 'moon', 'light', 'see', 'afraid', 'afraid', 'long', 'stand', 'stand', 'darling', 'darling', 'stand', 'stand', 'stand', 'stand', 'stand', 'sky', 'look', 'upon', 'tumble', 'fall', 'mountain', 'crumble', 'sea', 'cry', 'cry', 'shed', 'tear', 'long', 'stand', 'stand', 'darling', 'darling', 'stand', 'stand', 'woah', 'stand', 'stand', 'stand', 'might', 'also', 'like', 'darling', 'darling', 'stand', 'stand', 'stand', 'stand', 'stand', 'whenever', 'trouble', 'stand', 'stand', 'woah', 'stand', 'stand', 'stand']"
I Say a Little Prayer,Aretha Franklin,the moment i wake up  before i put on my makeup   i say a little   and while i am combing my hair now  and wondering what dress to wear now   i say a little     forever  and ever   you will stay in my heart and i will love you  forever  and ever   we never will part oh how i love you  together  together   that is how it must be to live without you  would only mean heartbreak for me     i run for the bus dear  but while riding i think of us dear   i say a little   and at work i just take time  and all through my coffee break time   i say a little   you might also like  forever  and ever   you will stay in my heart and i will love you  forever  and ever   we never will part oh how i love you  together  together   that is how it must be to live without you  would only mean heartbreak for me   forever  and ever   you will stay in my heart and i will love you  forever  and ever   we never will part oh how i love you  together  together   that is how it must be to live without you  would only mean heartbreak for me     my darling believe me   for me there is no one but you  please love me true  i am in love with you   answer my prayer baby   say you will love me true   answer my prayer baby      forever  and ever   you will stay in my heart and i will love you  forever  and ever   we never will part oh how i love you  together  together   that is how it must be to live without you  would only mean heartbreak for me   my darling believe me   for me there is no one but you  please love me true    this is my prayer   answer my prayer now baby   this is my prayer   answer it right now baby   say you will love me true   this is my prayer baby   i am in love with you,"['moment', 'wake', 'put', 'makeup', 'say', 'little', 'comb', 'hair', 'wonder', 'dress', 'wear', 'say', 'little', 'forever', 'ever', 'stay', 'heart', 'love', 'forever', 'ever', 'never', 'part', 'love', 'together', 'together', 'must', 'live', 'without', 'would', 'mean', 'heartbreak', 'run', 'bus', 'dear', 'rid', 'think', 'u', 'dear', 'say', 'little', 'work', 'take', 'time', 'coffee', 'break', 'time', 'say', 'little', 'might', 'also', 'like', 'forever', 'ever', 'stay', 'heart', 'love', 'forever', 'ever', 'never', 'part', 'love', 'together', 'together', 'must', 'live', 'without', 'would', 'mean', 'heartbreak', 'forever', 'ever', 'stay', 'heart', 'love', 'forever', 'ever', 'never', 'part', 'love', 'together', 'together', 'must', 'live', 'without', 'would', 'mean', 'heartbreak', 'darling', 'believe', 'one', 'please', 'love', 'true', 'love', 'answer', 'prayer', 'baby', 'say', 'love', 'true', 'answer', 'prayer', 'baby', 'forever', 'ever', 'stay', 'heart', 'love', 'forever', 'ever', 'never', 'part', 'love', 'together', 'together', 'must', 'live', 'without', 'would', 'mean', 'heartbreak', 'darling', 'believe', 'one', 'please', 'love', 'true', 'prayer', 'answer', 'prayer', 'baby', 'prayer', 'answer', 'right', 'baby', 'say', 'love', 'true', 'prayer', 'baby', 'love']"
For Once In My Life,Stevie Wonder,for once in my life i have someone who needs me  someone i have needed so long  for once unafraid i can go where life leads me  somehow i know i will be strong    for once i can touch what my heart used to dream of  long before i knew  oh someone warm like you  would make my dreams come true yes yes yes     for once in my life i will not let sorrow hurt me  not like it is hurt me before   for once i have something i know will not desert me  i am not alone anymore     for once i can say this is mine you cannot take it  as long as i know i have love i can make it  for once in my life i have someone who needs me   hey hey hey hey yes   oh baby love baby      you might also like  for once in my life  i will not let sorrow hurt me  not like it is hurt me before   for once i have something i know will not desert me  i am not alone anymore     for once i can say this is mine you cannot take it  long as i know i have love i can make it  for once in my life i have someone who needs me   oh for once in my life   somebody that needs me   ooh baby for once in my life,"['life', 'someone', 'need', 'someone', 'need', 'long', 'unafraid', 'go', 'life', 'lead', 'somehow', 'know', 'strong', 'touch', 'heart', 'use', 'dream', 'long', 'knew', 'someone', 'warm', 'like', 'would', 'make', 'dream', 'come', 'true', 'yes', 'yes', 'yes', 'life', 'let', 'sorrow', 'hurt', 'like', 'hurt', 'something', 'know', 'desert', 'alone', 'anymore', 'say', 'mine', 'take', 'long', 'know', 'love', 'make', 'life', 'someone', 'need', 'hey', 'hey', 'hey', 'hey', 'yes', 'baby', 'love', 'baby', 'might', 'also', 'like', 'life', 'let', 'sorrow', 'hurt', 'like', 'hurt', 'something', 'know', 'desert', 'alone', 'anymore', 'say', 'mine', 'take', 'long', 'know', 'love', 'make', 'life', 'someone', 'need', 'life', 'somebody', 'need', 'baby', 'life']"
"Hold On, I'm Comin'",Sam & Dave,do not you ever be sad  lean on me when times are bad  when the day comes and you are down  in a river of trouble and about to drown    just hold on i am coming  hold on i am coming    i am on my way your lover  if you get cold yes i will be your cover  do not have to worry because i am here  no need to suffer baby because i am near    just hold on i am coming  hold on i am coming  hold on i am coming  hold on i am coming    lookie here reach out to me  for satisfaction yes  lookie here dave that is all she got to do  call my name yes for quick reaction  yes yes yes yes  you might also like  now do not you ever be sad  lean on me when the times are bad  when the day comes and you are down baby  in a river of trouble and about to drown    just hold on i am coming  hold on i am coming  just hold on   i am coming   hold on   i am coming   hold on   i am coming,"['ever', 'sad', 'lean', 'time', 'bad', 'day', 'come', 'river', 'trouble', 'drown', 'hold', 'come', 'hold', 'come', 'way', 'lover', 'get', 'cold', 'yes', 'cover', 'worry', 'need', 'suffer', 'baby', 'near', 'hold', 'come', 'hold', 'come', 'hold', 'come', 'hold', 'come', 'lookie', 'reach', 'satisfaction', 'yes', 'lookie', 'dave', 'get', 'call', 'name', 'yes', 'quick', 'reaction', 'yes', 'yes', 'yes', 'yes', 'might', 'also', 'like', 'ever', 'sad', 'lean', 'time', 'bad', 'day', 'come', 'baby', 'river', 'trouble', 'drown', 'hold', 'come', 'hold', 'come', 'hold', 'come', 'hold', 'come', 'hold', 'come']"
Tired of Being Alone,Al Green,sweet baby    i am so tired of being alone  i am so tired of on my own  will not you help me girl  just as soon as you can    people say that i have found a way  to make you say that you love me  hey baby you did not go for that  it is a natural fact  that i wanna come back  show me where it is at baby    i am so tired of being alone  i am so tired of on my own  will not you help me girl  soon as you can    i guess you know that i uh i love you so  even though you do not want me no more  hey hey hey hey i am crying tears  all through the years  i will tell you like it is  honey love me if you will  you might also like  yes baby  tired of being alone here by myself now  i tell you i am tired baby  i am tired of being all wrapped up late at night  in my dreams nobody but you baby  sometimes i wonder   if you love me like you say you do  you see baby i been thinking about it yes  i been i been wanting to get next to you baby  you see sometimes i fold my arms i say mmmm hmmm hmmm   yes baby  meeting you has proven to me  to be my greatest dream yes    tired baby  yes you do not know what i am talking about  sometimes late at night i get to wondering about you baby  oh baby baby  i am so tired of being alone  i am so tired of being alone  i am so tired of being alone,"['sweet', 'baby', 'tire', 'alone', 'tire', 'help', 'girl', 'soon', 'people', 'say', 'found', 'way', 'make', 'say', 'love', 'hey', 'baby', 'go', 'natural', 'fact', 'wan', 'come', 'back', 'show', 'baby', 'tire', 'alone', 'tire', 'help', 'girl', 'soon', 'guess', 'know', 'uh', 'love', 'even', 'though', 'want', 'hey', 'hey', 'hey', 'hey', 'cry', 'tear', 'year', 'tell', 'like', 'honey', 'love', 'might', 'also', 'like', 'yes', 'baby', 'tire', 'alone', 'tell', 'tire', 'baby', 'tire', 'wrap', 'late', 'night', 'dream', 'nobody', 'baby', 'sometimes', 'wonder', 'love', 'like', 'say', 'see', 'baby', 'think', 'yes', 'want', 'get', 'next', 'baby', 'see', 'sometimes', 'fold', 'arm', 'say', 'mmmm', 'hmmm', 'hmmm', 'yes', 'baby', 'meeting', 'proven', 'great', 'dream', 'yes', 'tire', 'baby', 'yes', 'know', 'talk', 'sometimes', 'late', 'night', 'get', 'wonder', 'baby', 'baby', 'baby', 'tire', 'alone', 'tire', 'alone', 'tire', 'alone']"
Be My Baby,The Ronettes,the night we met i knew i needed you so  and if i had the chance i had never let you go  so will not you say you love me  i will make you so proud of me  we will make em turn their heads every place we go    so will not you please   be my little baby   say you will be my darling   be my baby now   whoa oh oh oh    i will make you happy baby just wait and see  for every kiss you give me i will give you three  oh since the day i saw you  i have been waiting for you  you know i will adore you til eternity    so will not you please   be my little baby   say you will be my darling   be my baby now   whoa oh oh oh  you might also like    so cmon and be   be my little baby   say you will be my darling   be my baby now   oh oh oh oh        be my little baby   oh oh oh   oh   woah oh oh oh   oh oh oh   oh   be my baby now   woah oh oh oh,"['night', 'met', 'knew', 'need', 'chance', 'never', 'let', 'go', 'say', 'love', 'make', 'proud', 'make', 'em', 'turn', 'head', 'every', 'place', 'go', 'please', 'little', 'baby', 'say', 'darling', 'baby', 'whoa', 'make', 'happy', 'baby', 'wait', 'see', 'every', 'kiss', 'give', 'give', 'three', 'since', 'day', 'saw', 'wait', 'know', 'adore', 'til', 'eternity', 'please', 'little', 'baby', 'say', 'darling', 'baby', 'whoa', 'might', 'also', 'like', 'cmon', 'little', 'baby', 'say', 'darling', 'baby', 'little', 'baby', 'woah', 'baby', 'woah']"
I Can See Clearly Now - Edit,Johnny Nash,i can see clearly now the rain is gone  i can see all obstacles in my way  gone are the dark clouds that had me blind  it is gonna be a bright   bright  sunshiny day  it is gonna be a bright   bright  sunshiny day  oh yes i can make it now the pain is gone  all of the bad feelings have disappeared  here is that rainbow i have been praying for  it is gonna be a bright   bright  sunshiny day  look all around there is nothing but blue skies  look straight ahead there is nothing but blue skies  i can see clearly now the rain is gone  i can see all obstacles in my way  here is that rainbow i have been praying for  it is gonna be a bright   bright  sunshiny day  it is gonna be a bright   bright  sunshiny day  bri ri ri ri bright   bright  sunshiny day yes eh  it is gonna be a bright   bright  sunshiny day  it is gonna be a bright   bright  sunshiny day yes na  it is gonna be a bright   bright  sunshiny day  bri ri ri ri bright   bright  sunshiny,"['see', 'clearly', 'rain', 'go', 'see', 'obstacle', 'way', 'go', 'dark', 'cloud', 'blind', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'yes', 'make', 'pain', 'go', 'bad', 'feeling', 'disappear', 'rainbow', 'pray', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'look', 'around', 'nothing', 'blue', 'sky', 'look', 'straight', 'ahead', 'nothing', 'blue', 'sky', 'see', 'clearly', 'rain', 'go', 'see', 'obstacle', 'way', 'rainbow', 'pray', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'bri', 'ri', 'ri', 'ri', 'bright', 'bright', 'sunshiny', 'day', 'yes', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'yes', 'gon', 'bright', 'bright', 'sunshiny', 'day', 'bri', 'ri', 'ri', 'ri', 'bright', 'bright', 'sunshiny']"
Midnight Train to Georgia,Gladys Knight & The Pips,mm la  proved too much for the man   so he is leaving the life  he is come to know ooh   he said he is going back to find   ooh ooh ooh what is left of his world  the world he left behind not so long ago    he is leaving   on that midnight train to georgia   mm yes  said he is going back   to a simpler place and time   oh yes he is   and i will be with him   on that midnight train to georgia   yes   i had rather live in his world   than live without him in mine     he kept dreaming   ooh that someday he had be a star   but he sure found out the hard way  that dreams do not always come true   oh no uh uh   so he pawned all his hopes  and he even sold his old car  bought a one way ticket back  to the life he once knew  oh yes he did he said he would  you might also like  oh no he is leavin   on that midnight train to georgia   hmm yes  said he is going back to find   ooh a simpler place and time   oh yes   i am gonna be with him   on that midnight train to georgia   oh   i had rather live in his world   than live without him in mine   ooh he is leaving   on the midnight train to georgia   yes ooh you all  said he is going back to find   ooh a simpler place and time   ooh you all uh huh   i have got to be with him   on that midnight train to georgia   yes   i had rather live in his world   than live without him in mine     oh   for love   gonna board the midnight train to ride  for love   gonna board   gotta board the midnight train to go  for love   gonna board   uh huh the midnight train to go  my world   his world   our world mine and his alone   my world   his world   our world mine and his alone   i have got to go   i have got to go   i have got to go hey   i have got to go   i have got to go   mm   my world   his world   my man his girl   i have got to go   i have got to go   oh i have got to go   my world   his world   our world his girl,"['prove', 'much', 'man', 'leave', 'life', 'come', 'know', 'say', 'go', 'back', 'find', 'left', 'world', 'world', 'left', 'behind', 'long', 'ago', 'leave', 'midnight', 'train', 'georgia', 'yes', 'say', 'go', 'back', 'simpler', 'place', 'time', 'yes', 'midnight', 'train', 'georgia', 'yes', 'rather', 'live', 'world', 'live', 'without', 'mine', 'kept', 'dream', 'someday', 'star', 'sure', 'found', 'hard', 'way', 'dream', 'always', 'come', 'true', 'uh', 'uh', 'pawn', 'hope', 'even', 'sell', 'old', 'car', 'bought', 'one', 'way', 'ticket', 'back', 'life', 'knew', 'yes', 'say', 'would', 'might', 'also', 'like', 'leavin', 'midnight', 'train', 'georgia', 'hmm', 'yes', 'say', 'go', 'back', 'find', 'simpler', 'place', 'time', 'yes', 'gon', 'midnight', 'train', 'georgia', 'rather', 'live', 'world', 'live', 'without', 'mine', 'leave', 'midnight', 'train', 'georgia', 'yes', 'say', 'go', 'back', 'find', 'simpler', 'place', 'time', 'uh', 'huh', 'get', 'midnight', 'train', 'georgia', 'yes', 'rather', 'live', 'world', 'live', 'without', 'mine', 'love', 'gon', 'board', 'midnight', 'train', 'ride', 'love', 'gon', 'board', 'get', 'ta', 'board', 'midnight', 'train', 'go', 'love', 'gon', 'board', 'uh', 'huh', 'midnight', 'train', 'go', 'world', 'world', 'world', 'mine', 'alone', 'world', 'world', 'world', 'mine', 'alone', 'get', 'go', 'get', 'go', 'get', 'go', 'hey', 'get', 'go', 'get', 'go', 'world', 'world', 'man', 'girl', 'get', 'go', 'get', 'go', 'get', 'go', 'world', 'world', 'world', 'girl']"
