danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.522,0.551,0,-6.396,1,0.049,0.33,0.0,0.129,0.242,137.988,audio_features,1UhDG1nEctrXaCJR85p0iF,spotify:track:1UhDG1nEctrXaCJR85p0iF,https://api.spotify.com/v1/tracks/1UhDG1nEctrXaCJR85p0iF,https://api.spotify.com/v1/audio-analysis/1UhDG1nEctrXaCJR85p0iF,175600,4
0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,audio_features,315aBOUD3xtj7sUMXtRgMV,spotify:track:315aBOUD3xtj7sUMXtRgMV,https://api.spotify.com/v1/tracks/315aBOUD3xtj7sUMXtRgMV,https://api.spotify.com/v1/audio-analysis/315aBOUD3xtj7sUMXtRgMV,216410,3
0.492,0.379,0,-8.859,1,0.0257,0.785,0.00093,0.108,0.273,83.993,audio_features,2AS8i1xuWmeWGBBwI69vfn,spotify:track:2AS8i1xuWmeWGBBwI69vfn,https://api.spotify.com/v1/tracks/2AS8i1xuWmeWGBBwI69vfn,https://api.spotify.com/v1/audio-analysis/2AS8i1xuWmeWGBBwI69vfn,238707,3
0.426,0.451,3,-8.044,1,0.162,0.634,0.0,0.103,0.484,182.921,audio_features,7CcSmXQOev37UcoAeohMpn,spotify:track:7CcSmXQOev37UcoAeohMpn,https://api.spotify.com/v1/tracks/7CcSmXQOev37UcoAeohMpn,https://api.spotify.com/v1/audio-analysis/7CcSmXQOev37UcoAeohMpn,168103,3
0.508,0.419,7,-9.786,1,0.0429,0.912,2.22e-05,0.114,0.257,139.109,audio_features,2SPbioo65CuUB3H0aW1ID5,spotify:track:2SPbioo65CuUB3H0aW1ID5,https://api.spotify.com/v1/tracks/2SPbioo65CuUB3H0aW1ID5,https://api.spotify.com/v1/audio-analysis/2SPbioo65CuUB3H0aW1ID5,213213,3
0.685,0.505,4,-5.099,1,0.0498,0.786,0.0,0.186,0.441,141.609,audio_features,2Jdo2UwlQMc0AySBT7T2EZ,spotify:track:2Jdo2UwlQMc0AySBT7T2EZ,https://api.spotify.com/v1/tracks/2Jdo2UwlQMc0AySBT7T2EZ,https://api.spotify.com/v1/audio-analysis/2Jdo2UwlQMc0AySBT7T2EZ,211242,4
0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4
0.395,0.35,5,-6.122,1,0.0276,0.916,5.26e-05,0.111,0.153,140.016,audio_features,2yHcSn169Hjj5UjjLubk8U,spotify:track:2yHcSn169Hjj5UjjLubk8U,https://api.spotify.com/v1/tracks/2yHcSn169Hjj5UjjLubk8U,https://api.spotify.com/v1/audio-analysis/2yHcSn169Hjj5UjjLubk8U,207909,3
0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,audio_features,4KULAymBBJcPRpk1yO4dOG,spotify:track:4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/tracks/4KULAymBBJcPRpk1yO4dOG,https://api.spotify.com/v1/audio-analysis/4KULAymBBJcPRpk1yO4dOG,227196,4
0.629,0.433,3,-5.688,1,0.0329,0.695,0.0,0.117,0.182,126.009,audio_features,6EtlSjhcsMofKcd9Kx2cCV,spotify:track:6EtlSjhcsMofKcd9Kx2cCV,https://api.spotify.com/v1/tracks/6EtlSjhcsMofKcd9Kx2cCV,https://api.spotify.com/v1/audio-analysis/6EtlSjhcsMofKcd9Kx2cCV,193389,4
0.369,0.404,7,-8.8,0,0.119,0.329,0.0,0.133,0.159,170.194,audio_features,6tqSQ7LWVgmVyf41tFAqHV,spotify:track:6tqSQ7LWVgmVyf41tFAqHV,https://api.spotify.com/v1/tracks/6tqSQ7LWVgmVyf41tFAqHV,https://api.spotify.com/v1/audio-analysis/6tqSQ7LWVgmVyf41tFAqHV,188572,4
0.414,0.569,7,-5.436,1,0.0353,0.178,0.0,0.178,0.303,152.122,audio_features,3X7afM4V4ZMLNVmwBgqWzp,spotify:track:3X7afM4V4ZMLNVmwBgqWzp,https://api.spotify.com/v1/tracks/3X7afM4V4ZMLNVmwBgqWzp,https://api.spotify.com/v1/audio-analysis/3X7afM4V4ZMLNVmwBgqWzp,175360,4
0.391,0.084,0,-17.843,1,0.0317,0.953,0.0,0.0983,0.111,79.449,audio_features,6wf7Yu7cxBSPrRlWeSeK0Q,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/tracks/6wf7Yu7cxBSPrRlWeSeK0Q,https://api.spotify.com/v1/audio-analysis/6wf7Yu7cxBSPrRlWeSeK0Q,222370,4
0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,audio_features,1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,https://api.spotify.com/v1/audio-analysis/1xK59OXxi2TAAAbmZK0kBL,132631,4
