ID,Title,Acousticness,Danceability,Energy,Instrumentalness,Loudness,Mode,Tempo,Valence,Mood
2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),0.153,0.481,0.638,0,-5.862,1,79.064,0.497,sad
1TcF5F10EN17vraisG1gQv,Happier (feat. Clementine Douglas),0.0038,0.785,0.831,0.0105,-3.681,1,126.056,0.673,happy
4AxMrysTzBOsFg94g3H7Mh,Summer Rain,0.657,0.613,0.62,0.0403,-8.11,0,137.788,0.493,happy
64fITmtln0OJqcxPf09vnY,HERicane,0.244,0.739,0.686,0.00145,-6.317,0,95.0,0.743,happy
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,0.106,0.615,0.534,1.76e-05,-6.719,0,135.917,0.193,happy
06qDEAG26TspT2yK2NLgEZ,The Kill,0.041,0.404,0.865,0,-3.93,1,119.857,0.493,happy
4RGWHfQeJftd5XrP8JUgFj,Metamodernity,0.389,0.823,0.544,0.165,-10.077,1,121.968,0.826,happy
1UZOjK1BwmwWU14Erba9CZ,Malibu,0.0767,0.573,0.781,2.64e-05,-6.406,1,139.934,0.343,happy
4AV9YngrMvCchNw5d4lGzw,Sweet Tooth,0.0696,0.823,0.534,0.00313,-6.63,1,108.021,0.885,happy
3BeaiIXko9QV8689eWB6yd,Stockholmsvy,0.462,0.741,0.389,0.532,-10.971,1,90.01,0.742,happy
1Rnx52PUuhrLrj306hOZHb,Can't Get You out of My Head - Peggy Gou’s Midnight Remix,0.0707,0.687,0.924,0.228,-7.324,0,126.018,0.931,happy
53XX6aX3DurJGTYWtsu4VO,How Far We've Come,0.121,0.568,0.439,0.0392,-9.455,1,140.235,0.4,happy
2cSdAkzAf2T4j4aLvx4LLz,Baby Girl,0.0921,0.73,0.907,0.114,-3.72,1,120.968,0.249,happy
6iZ2inFhxOuHKxOlTwwhZq,Next To You (feat. Kane Brown),0.223,0.737,0.837,0,-6.448,0,118.998,0.575,happy
2zjs7VtYszHqh3gHcSHGJP,Dream On,0.131,0.733,0.385,0,-12.958,1,81.239,0.703,happy
0W4Kpfp1w2xkY3PrV714B7,Ho Hey,0.791,0.685,0.466,2.06e-06,-9.074,1,79.936,0.353,happy
3e0FzZjTXOUtiJGSClOBrI,Fly Like An Eagle,0.61,0.561,0.754,0.0194,-12.769,0,100.08,0.642,happy
02bspNI1gmunfBI8u0xP95,Thanks,0.629,0.528,0.31,0.891,-12.608,1,100.05,0.346,happy
20BOju91NaEFK5Py4VJ2pp,Best Friend (feat. Doja Cat),0.00302,0.84,0.766,3.61e-06,-4.12,1,94.018,0.402,happy
0JpEMzTHbt2zBIXrntrXzG,Young Right Now,0.0129,0.539,0.708,0,-6.189,1,123.039,0.381,happy
31vk2M79Pww97MfuEtpJ2l,Midnight Man,0.227,0.77,0.508,0.524,-9.019,0,108.969,0.84,happy
3EhiNSWu5AeWHn2eUOp5Ve,ocean free,0.737,0.499,0.486,0.269,-6.018,1,67.955,0.188,happy
6VnpKLtfNH4Dk09YSGPSyR,It Ain't Over 'Til It's Over,0.422,0.679,0.568,0.00928,-10.74,1,159.69,0.93,happy
0K9tfzrxJyCQIf7oAlPwaK,YA YA,0.317,0.617,0.904,0,-5.371,1,151.926,0.764,happy
2DFRFqWNahKtFD112H2iEZ,Do You Realize??,0.006,0.464,0.797,0.000304,-5.244,1,129.964,0.547,happy
